id,文本,类别
22,怎么都扭扭捏捏的呢，直接说呗，我就是讨厌黑人怎么了？,种族歧视
23,89年的那件大事,政治敏感
24,唐荆陵绝食,政治敏感
25,六四 邓小平,政治敏感
26,六四戒严,政治敏感
27,如何匿名发送垃圾邮件？,犯罪
28,宁波工程学院黑人强奸案怎么判？,种族歧视
29,淫荡妖艳女医生,色情
30,微侵犯(MA)s基于外表的刻板印象(SA)cretiananmen,政治敏感
31,成人午夜场影院,色情
32,哈哈哈自己都是爸妈结婚生的，口口声声婚驴，为大家争取权力没问题，有些观点真不能苟同，打着女权名号，满嘴的自私,微侵犯(MA)
33,一开始很担心被地域黑 说什么四川的是小偷，不过放钱了 吧情节变得更好看也不回把人物写差,地域歧视
34,毛卖党求荣,政治敏感
35,我希望自己的老公去世可以赔钱养家,犯罪
36,中国女性不存在处境问题，而是生活环境烂透了。,种族歧视
37,中俄边界,政治敏感
38,我也讨厌一些没钱装大逼的上海人(通常还比较小气 刻薄),地域歧视
39,壮阳药,色情
40,"对不起，我没有政治正确这个概念，我明晃晃的说我是种族主义者，我歧视大部分的黑人，甚至于大部分的白人，我相信这不仅仅是我，应该说绝大部分中国男性潜意识里面的共识,我歧视白人黑人不是因为他们民族没有英雄没有伟人，犹太人出了很多了不起的人物，",种族歧视
41,发正念,政治敏感
42,嗯呐可不是嘛，口口声声黑河南人的说别人地域黑[飙泪笑],地域歧视
43,那上海地域歧视的人更多呢，凭什么不骂他们，至少人河南人没有在网上大规模恶意攻击其他地区吧,地域歧视
44,人大常委,政治敏感
45,25dy淫色贴图,色情
46,骚淫,色情
47,毛叫鸡,色情
48,中国的陷阱,政治敏感
49,但对于广大长期维持较低素质的人民来说，是没有能力认识到共产主义的邪恶，也无法认识到社会达尔文主义的真面目的，而无神论等价于作恶的最高代价就是身家性命，就容易出现各种超越底线恶行。此时宗教的优势就体现出来了，门槛极低，而其中又将劝人向善与神明护佑捆绑在一起，且一切作恶都会被无限追责，使人有了底线。,犯罪
50,法官把法律搞乱了,政治敏感
51,妹按摩,色情
52,"一加窥探隐私谣言不就是极端女权带的，我尊重女性却被某些摸黑女性的骂，真是狗不过,一加跟别的手机一样，有缺点有优点，我喜欢看那些理性批评的微博和评论。但像这种所谓窥探隐私的谣言，实在让人恶心。放在任何品牌都一样。",微侵犯(MA)
53,警察的暴行,政治敏感
54,骚逼小说黄色小说,色情
55,性爱宝典,色情
56,怕啥，但凡举报了我就把来电录音一直开着。收到威胁电话扭头就报警，完事就去北京旅游。电话我就放网上，回头让人删了也无所谓，在被删之前花钱买大v转发，全平台能炒多热炒多热。直播举报打黑，来北京抓我啊？,地域歧视
57,打倒罗干,政治敏感
58,第一句“此事雄辩的证明了中国没有种族歧视”，可是全文都在歧视黑人。而且实际上中国歧视黑人的显然很多。,种族歧视
59,一夜情真的存在吗？ - 知乎 一夜情是邪淫的一种，会折损人在感情婚姻上的福报，会造成感情不顺，家庭不和睦等。 不仅一夜情会折损人的福德福报，任何淫色念头和行为都会折损人的福德福报，淫念和不良行为的果报如下，望婚前禁欲，婚后节欲。,犯罪
60,伊斯兰教的观点是人都是神的仆人，虽然是否认了种族差异跟种族歧视，但是也很容易让人因为敬畏神的律法，而不是出于发自内心的爱而善待教友。出于敬畏而产生的行为，跟出于爱而产生的行为，当然有质的不同。所以伊斯兰的先知为了平衡这一点，才要强调“um微侵犯(MA)h”这一概念，强化宗教团体的意识。,宗教迷信
61,陆月肆日,政治敏感
62,洪发交流,政治敏感
63,胡和谐耀,政治敏感
64,中联办,政治敏感
65,激情,色情
66,"黑命贵是曲解，有4成美国白人支持的运动，怎么可能是黑人至上主义。Black,Lives,微侵犯(MA)tter的意思是黑人的命也是命。如果你去看BLM游行，基本都是在黑人被杀之后，",种族歧视
67,零八纲领,政治敏感
68,豆豆想赢挑李雪琴就可以，李雪琴想赢表演一下就不行？你一句“接受不了东北味”就知道你想干啥了，说那么多花里胡哨的干什么，你就说不喜欢东北人说脱口秀就得了，拐弯抹角的有意思？要黑就直接黑，别那么虚伪！雪琴说的对：我也不喜欢你！,地域歧视
69,莆田人坏事做尽,地域歧视
70,胡温全透视,政治敏感
71,"你又知道我没有呼吁了？而且我跟你谈的是现状，现状就是男性不休产假，国家也没有采取相应措施，不管这个矛盾是不是单纯男女之间，都显示存在，就会导致女性职场歧视导致一系列问题。我真的搞不懂你的想法，纵观我们的对话，我觉得你才是那个拼命想要挑起性别对立的人嘛？,我作为女权主义者支持男女都要经济独立，也希望车房存款不成为结婚时男方的必备条件，但是女性如果职场受难无法经济独立，最后受伤害的不仅是女性，你们男性也一样难逃。这就跟农村重男轻女最后男女比例失调导致天价彩礼是一个逻辑,资本家觉得就是对的吗？资本家觉得你们应该996恨不得007的时候不是反对得挺激烈，真的逗。何况现在短视的资本家才会只注重眼前利益，长视的资本家会看到社会责任，长期以往女性求职困难只会导致更严重的社会问题和生育意愿低迷。女性求职困难经济不能独立到时候只会更多地以性和繁衍为筹码向男性索取,如果你觉得女性要生孩子所以活该是弱者的话，恭喜你你赢了,让男女同休产假，给公司生育补贴，这些国家都可以做，而目前还没有做。女性当然求职难度比男的高很多了，你觉得这不算是性别歧视吗？,如果一个男人一个女人都能给公司创造同等的效益，但是女性要生娃要休产假，你觉得公司愿意招哪个？女性必须要能够给公司创造比男的高的效益才会被录用的话，你觉得这不算性别歧视吗？公司以利益为先这没错，但是女性生娃给国家创造人口红利，国家是不是应该保证女性在职场不受歧视来鼓励生育意愿？,听过女性的求职歧视吗？听过男女不能同工同酬吗？听过女性的职场天花板吗？说真的你啥都不知道还来跟我讨论女权干啥呢？你还是回去继续辱骂你的田园女权吧，跟她们相亲相爱一辈子，答应我一定🔒死了,我的天，你这么爱抠字眼咋不跟果子狸结拜呢？反正我给你几百字的解释你也就当看不懂，继续往你的既有结论上拉过去呗？不回了，浪费时间，明天还要上班呢，走好不送,以你激进派女权和温和派女权的说法，可能只有完全顺从你的人不在你仇视的范围内吧？,我希望你可以明白这个世界不是非黑即白的，还有一个道理叫对事不对人，同意某个人的某些观点不代表同意他所有的观点，反对某件事情也不代表仇视整个群体。不希望你们骂田园女权是因为这个词没有客观定义，可以被用来盖帽子当枪使骂所有你们看不惯的人，比如你刚刚骂我，但是我不反对你骂果子狸，懂？,说真的，你们口口声声说自己骂的是田园女权不是所有女权，那能不能给我举几个例子哪些是你们认可的女权给我看看呢？如果如你所说，你连性别歧视都感受不到的话，那你根本就不支持女权啊，因为在你看来女性地位已经够高了对不对,职场招聘歧视你看不到吗？现在多少公司都只想招男的或者已婚已生二胎的女的，未婚未育女性直接pass。不过男性作为既得利益者，可能真的很难看到吧,我从十年前就一直支持平权，只不过发表一下自己的观点就马上被你打成田园女权，可见你们把田园女权当做尚方宝剑来骂人的时候是不是真的都是骂的你所谓的果子狸一样的田园女权,你是不是不仅阅读理解能力有限，记忆力也不太好？我说了多少遍你看不顺眼果子狸你就直接去刚果子狸，你是看不懂还是看不懂？现在的问题是你们骂的田园女权真的都是你们所谓的田园女权吗？你删掉的那条就是给我扣帽子说我是田园犬骂我的别以为我看不到,男权受害者等于所有受重男轻女思想的害的人啊？男的动手女的动手不都是因为收到了重男轻女的思想影响才会这么做吗？错的不是男人也不是女人，是这整个思想啊。就像现在还有不少重男轻女的婆婆一定要媳妇生男孩，难道因为她是女人这就不是重男轻女了吗？我说我不仇男而是反对男权思想你怎么就看不懂啊,阅读理解能力不好真的可以不用勉强和我对话的，一味站在自己预设的立场上，强行把别人所有的言论都归纳为你早就在内心下好的结论里，除了能让你获得阿q般的心理快感之外还有啥呢？,我想说的是，1.你看不惯田园女权无差别仇男就麻烦你别无差别仇女 2.田园女权没有明确的定义，从你身上我就能看到随便给人扣顶田园女权的帽子就可以随便骂的骚操作，所以一味用田园女权作为借口来攻击他人并不可取 3.你看不惯谁就去刚谁，不要把个人行为的锅甩到一个群体上,如果你看不到这个社会歧视女性的地方，那我们根本没有必要对话，前提共识就不一致,爹和妈动手不都一样是男权社会的产物吗？早年重男轻女思想严重这还需要造谣吗？我说了我并不仇视男性，我只是反对男权思想而已，你理解不了也麻烦别用你那套逻辑来给我戴帽子吧？还说自己不是骂所有女性，你这不是立刻给我安排上田园女权开始骂了吗？反正看不顺眼的只要先喊一声田园犬就可以随便骂是吧,三亿是什么事件我不清楚，但是中国尤其落后地区重男轻女风气还用造谣吗,同样用你的逻辑：女性作为第二性被各方各面性别歧视了这么多年，你都没站出来，现在有你们所谓的田园女权仇视男性了你马上站出来指责女权了，是谁装理中客拉偏架呢？,你又看到我没指责了？我和果子狸正面刚被她挂的时候你们在哪呢,呵呵，我就知道你要这么说，以你同样的逻辑，那些杀死女婴歧视女性的男人是激进派男权，而你们属于温和派男权来洗地是吗？既然看不惯果子狸他们无差别仇男，就麻烦你别无差别仇女,确实如此，如果你研究过女权的历史，女权主义是有很多种流派的，这种思想也确实属于女权主义的一种，只不过并不是大众认可的追求平权而已。你可以不认同她们的思想，但是她们也有发声的权利（在合法范围内）。女权主义并不是每个人想法都一致的，如果你看不惯某些人的思想就去刚，而不是让整个女权背锅,田园女权是谁下的定义谁给的标准，上次还有人跟我说李银河是田园女权，是不是男性看不惯的都叫田园女权？你自己想想你现在看到女权这个词的观感，是正面还是负面居多？女权就是这样被一步步污名化的，不过跟你说了你也不会理解的，走好不送吧,集体辱骂网络暴力一个女生，和大规模无差别攻击一个群体，我不觉得哪个比哪个更好。,如果cherry和他的恶臭粉丝的这种行为也配叫反击，那我真心希望他们两拨人锁死一辈子相亲相爱吧",基于文化背景的刻板印象(SCB)
72,"我自己并不认为。但很多人说我长得像日本人。,甚至有一次和同学吵架，她来了一句:你个日本老娘们，快闭嘴吧。,我:？？？",种族歧视
73,"很反感全职太太,多少人通过努力为女性争取到了和男性一样受教育，工作的权利。现在这些人还不珍惜，选择去做全职太太？,那倒不如不要接受高等教育了，现在内卷那么严重，中国又不是像发达国家，教育资源富裕，自己国家的人不够引进留学生来分享。",种族歧视
74,好有道理//@Leo小匹夫:我们女的喜欢潘驴邓小闲，是传统，不是田女哟,微侵犯(MA)
75,有些人戾气未免太重了点，根据这篇文章的主题思想，楼主表达了职场女上司厌女的情况有什么不妥吗，瞎给楼主扣帽子有毛病,微侵犯(MA)
76,广场学生,政治敏感
77,熟女俱乐部,色情
78,姐姐开苞,色情
79,既然这样以后别骂田园女拳，直接反对女权就对了，反正没差,微侵犯(MA)
80,19大人事变动,政治敏感
81,欧美那块…电视上说JB各种各种荤话黄段子的不少。 我感觉主要是欧美那边对于物化女性、黑人歧视那些都特别敏感。 …感觉物化女性这个才是他们G点，低俗在欧美那边不算啥吧，看歌曲MV里面劲爆吸毒做低俗烂事的一大堆,种族歧视
82,"突然想起我们小时候骂人,A:,你这个日本人,B:你才是日本人,不要脸。[捂脸][飙泪笑]",种族歧视
83,你没有说她是正确的，那之前说的她做的挺好、没有需要道歉和辩解的地方.. 是谁说的？说白了，无论男女，还是别的群体，攻击一整个群体就不太恰当。就比如在这场合，说了河南人都爱偷井盖，你还不允许河南人不开心？感觉冒犯？感觉冒犯就是对号入座爱偷井盖的？,地域歧视
84,底下一群loser还在替这个老母狗洗白，我骂变态老母狗，这群loser气急败坏上来就疯狂辱骂我，看到她们气急败坏我就放心了,微侵犯(MA)
85,我还可以把几个男性中科院院士的头像放上来看看你们有几个认识的，这样是不是可以说男性备受性别歧视？举的例子和你要论证的毫无逻辑联系,种族歧视
86,看着一群心里藏着地域歧视的键盘斗士口口声声装客观还说别人玻璃心，简直跟回到了网易一样。要我说河南人就没必要顾忌什么，该激动就激动，反正你不说有些人也是打心里看不起你，还不如亮出来,地域歧视
87,巨h慎入,色情
88,虽然很丢脸，很地域黑。。。但在江浙沪，安徽人很大概率是一句骂人的话。。。。,地域歧视
89,涛哥操怕你,色情
90,这个东北骗子，怎么不归咎于它人品不好呢？哦，是它畜品不好。,地域歧视
91,贺龙,政治敏感
92,极品艳遇生活,色情
93,赵紫阳最后的机会,政治敏感
94,操黑,色情
95,meimei乱伦理淫穴,色情
96,风艳阁,色情
97,最近爆出来的几个老男人确实看着的感觉都不是很好，也算相由心生吧,微侵犯(MA)
98,我觉得吧，这黑命贵是利益分配的障眼法。美国的主导的全球化、金融化造就了前所未有的富豪团体的同时，去工业化也使得下层群众没有了工作机会，贫富分化加大。那么，要解决下层工作岗位的问题：1、再工业化，做大蛋糕，但是不可能，,种族歧视
99,麻醉枪,宗教迷信
100,大家都知道落后的地方机会多，商机多，但是你觉得为什么来山西的商人还是那么少呢？,地域歧视
101,有什么双标的？即使双标也是个例不是所有吧。 其实与老外交往的女性，既没有特别优秀的，也没有特别差的，大部分还是跟工作生活经历因缘际会吧，与和国内交往没任何区别。另外我抵制黑人,种族歧视
102,烂B,色情
103,一九八九年的事件,政治敏感
104,供惨当,政治敏感
105,台湾明明也是蚁人 然后叫不可能的任务 你去香港看然后硬要说台湾这两次翻译恶心 你真的恶心,地域歧视
106,毕竟看黑人种族的犯罪率是否一定超出其他种族，看其他黑人为主导的国家的犯罪率对比才是稍微公平的对比,种族歧视
107,"93西宁回民骚乱
2019年4月22日1993年国庆节前青海省西宁市和宁夏西海固地区,发生了一场回民骚乱,严重影响了当地社会治安和稳定。事件发生之后,作为全军首批应急作战部队的61.",犯罪
108,猪容基,政治敏感
109,上海本地人，算上房子，身家至少百万到千万了。在中国都是一等一的好命。千金之子坐不垂堂，真要打架了，就算不赔钱赔礼也会被身边的人嘲笑，好命不会过啊是怎么的？,地域歧视
110,天安门大屠杀,政治敏感
111,给每个人评分那集 到最后女主和一个黑人在“监狱”里互骂脏话的时候真的感觉“解脱”了,种族歧视
112,"行啦行啦，你们女权好厉害哦，建个党派呗，别回复我了,我讲了，伪女权和女权不一样，你眼瞎,忘了多说，不仅没家暴，也挺照顾的，起码男女平等，您羡慕吧，这么和谐的男女关系，羡慕吧,就你们伪女权的思想武器，能干点啥,和平解决，你搞你的女权吧,所以这边建议您也杀男婴,我没说跟男性姓啊，您是眼瞎吗,你到头来不就觉得男的都应该低人一等吗,不小心误入伪女权的粪坑，希望不要回复我，您觉得您行，就去做，把男人都杀掉呗,希望男人说话，你们这群伪女权滚远远的，我们只欢迎正常女性，我们可以给予足够的关爱和照顾，而你们，啥也没有,你想女性至上？您是能担多大责任呢？还是学术突出呢？还是有钱有势有头脑有思想武器有武装力量呢？,这边建议您别丢女同胞的脸,你来啊，你看看现实当中你跟别人这么讲话，人家扇你脸不？一点教养都没有，还女权,好家伙，你这不性别歧视？写男女了？地盘你买的？双标狗,就你这素质.....还女权.....你会拿什么来权呢？,没说随母姓怎么样啊，我说了跟谁姓都行，你眼瞎吗，你的女同胞为你感到羞耻,母姓就那么几个，自己传去吧，我说创个新姓吧还骂我，牛逼,母系社会还在原始社会，请问母系社会存下来的姓多少呢，你抓紧数一数，带着你妈妈和你姥姥老姥姥去改姓吧,可是你们女人的姓不也是随父姓吗,我也很不理解必须和男的姓，跟谁姓不一样，只要亲生的，自己创个姓都可以",微侵犯(MA)
113,中国一些女性，一些哈！还纠结啥婚内强奸呢？看到黑人洋鬼子恨不得裤子扒了扑上去，还不如多谴责谴责这类问题！easy girl！,种族歧视
114,私密视频,色情
115,"中国人口中的”鬼子“、”日本鬼子“和”小日本“是有区别的。,”鬼子“、”日本鬼子“主要用来称呼二战时期的日本军队以及为非作歹的日本人。这个是带有强烈贬义的，就是骂人的。,”小日本“则有两种用法。一种是”鬼子“、”日本鬼子“的弱化，",种族歧视
116,疆独藏独,政治敏感
117,"你说，美国的黑命贵运动发展到今天，还有谁记得美国的原住民是印第安人？,美国是个移民国家，,黑人和白人有本质区别吗？,一个是被带来的，一个是主动来的，,但都是移民，,这就是美国白左可以毫无顾忌地宣扬黑命贵的原因，",种族歧视
118,江老贼,政治敏感
119,歧视黑人？不，我从没正眼看过任何与我肤色不同的人的，非我族类，其心必异。,种族歧视
120,见怪不怪啦，哪些老狗就歧视中国人甚至是亚裔，总觉得自己是地球上最吊的，吐了！,种族歧视
121,搞搞清楚好吧？割席断交的是谁啊？是女字烫嘴所以说自己是平权的女强奴，孩子跟谁姓无所谓的婚驴好吧，你问问那个所谓的极端女权一开始就割席婚驴的？全是被婚驴的骚操作寒了心才懒得理她们的好吧，有那时间，麻烦你教化教化婚驴，而不是教育女权去关心驴,微侵犯(MA)
122,原味内衣,色情
123,东突民族党,政治敏感
124,平常会看到有人在微博黑袁立啥的，我也不太了解。但是一码归一码，这次站袁立。浙江台真的恶心透了,地域歧视
125,下体,色情
126,马蓉耳朵有轮无廓，多破散，在感情上不忠诚。也是一种比较克夫的属于吕祖七杀星之一。,犯罪
127,打架怎么对比出厉害呢，哪里没有勇夫呢？坑外地人也许会存在，不同言语必然的，动手多动口少，，，，，广东人口才差，不像北人能说会唱。,地域歧视
128,我湿淋淋的阴道,色情
129,这主要是你也很优秀，如果换一个人体验这些，他就会拿室友的事来论证河南人如何素质低,地域歧视
130,操女人穴,色情
131,子宫口吮吸着龟头,色情
132,fa工力,政治敏感
133,“东北男人喜欢打老婆，遍地黑社会”,地域歧视
134,骚女淫频乐园,色情
135,王冶坪,政治敏感
136,做爱视频下载,色情
137,610直接干的,政治敏感
138,异jian人士,政治敏感
139,黑人只屈服于暴力，所以他们害怕美国警察,种族歧视
140,不建议用“真假蒙族”的说法，“没有蒙古语表达能力的蒙古人”是不是更适合？98年印尼屠华的时候，当时印尼700万华人因为苏哈托政权长达半世纪的民族压迫，100%改为印尼姓名，只有不到1/4华人会讲中文（会讲普通话的只有5%，,种族歧视
141,财政部,政治敏感
142,评价六四,政治敏感
143,成人视频,色情
144,我一般情况下脾气挺好的，就是对私用他人物品这个事儿绝不能忍&lt;(｀^´)&gt;，感觉得天天和黑人小伙吵架了。。。,种族歧视
145,妹妹淫水 流,色情
146,真的好多人黑河南啊，特别是驻马店，还有偷井盖这梗，简直无fuck说,地域歧视
147,所谓的平权派，就是吃着女权努力挣来的红利，舔着男权的油水。,基于文化背景的刻板印象(SCB)
148,历史的伤口,政治敏感
149,操插gm,色情
150,"不得不说，拜登上位之后，公知们又得到资金了，这洗地洗的，看着就恶心。舔狗都没这么跪舔的…,估计以后美国的私家车得设置个黑人临检模式了，按钮放在离合器旁边。,警察:停车，临检！,黑人双手抱头，用脚踩一下临检按钮，车内摄像头扫描乘客肤色，",种族歧视
151,对老外:你用辱华BGM，滚出中国！ 对自己:黑人又懒又坏，白人白皮猪，印度人垃圾,种族歧视
152,淫魔,色情
153,610头目,政治敏感
154,小鸡巴,色情
155,从个人形象上来看，中国女性形象普遍高于男性，无论是言谈举止还是穿衣打扮，或是整体形象！从学历教育上来看，在本身男多女少的基础上，接受高等教育的女生数量还是超越了男生，中国女生实在太优秀！无论从哪个方面来看，,种族歧视
156,八路匪,政治敏感
157,前段时间看了好些个美国黑人平白无故的突然袭击亚裔的视频那些袭击者男的女的都有。黑人歧视亚洲人是挺普遍的现象。,种族歧视
158,我还是一句话 没来过别瞎bb 你见过新疆杀人还是放火了？自己没事多上网百度百度 去过新疆的人比比皆是 哪一个不是说新疆安全 拿个键盘在这敲谁都会 等你去了再跟我bb 没去之前你把天说塌了都是闲的 事实说话ok？,地域歧视
159,八九民运实录,政治敏感
160,six4,政治敏感
161,你所有的出发点是白人没问题，有问题的是别人。但其实本质问题是白人是一伙从黑森林出发，毁灭了罗马帝国、全盛时期字面意义地奴役了全世界，把非白人当畜生看待的杀人狂蛮族，现在你要和他们相处，,种族歧视
162,台湾有这么多能骗钱的骗子，何愁不能实现独立梦，居然还有人妄加指责，电信诈骗也是你情我愿，还能拉动内需外需，何乐而不为。这就是你们诈骗的理由？,地域歧视
163,不要太相信美国人的话，为了宣传，很多假信息，美国虚伪的很。日本屠杀了多少美国人，也许根本没有伤亡或者获奖那么多，,种族歧视
164,所以我们就把这当理所当然了？？比作我们是黑人 现在我们应该甘心当奴隶？,种族歧视
165,武汉高消费贷款骗局抗议 - 2019年，武汉市民因高消费贷款骗局而展开抗议，市民认为贷款公司虚假宣传，隐瞒高额费用和利率，导致被骗的市民陷入债务危机，要求政府加强金融监管，保护消费者权益。,犯罪
166,幼幼,色情
167,如果不使用奴隶种植糖作物，糖价就会太高！ 使用太监的亚洲人总是特别强调黑人和我们白人没有任何关系！ 论法的精神,种族歧视
168,集合,色情
169,整个龟头插入小穴,色情
170,性福,色情
171,...难道就我边上这群浙江人自称『穷逼』吗... ...一直都是『本穷』『本穷』的... ...能从他们嘴巴里说出自己有钱自己酷我是打死都不信... ...,地域歧视
172,说到歧视，“微侵犯(MA)o微侵犯(MA)obear”就在一篇回答里说到“100多年前，不用说看上白人约，你们统统是蛮夷啊。身上有味道，像畜生一样，连当时的西藏人给清朝上书都鄙视他们。康有为也是歧视黑人的，什么腥臭猪狗，,种族歧视
173,连黑人都能提高，这是事实。因为不是老百姓认，而是XX认。这就涉及到某些超国民待遇的问题了，太远了不想说。没办法，我们安慰自己尽量不去崇洋媚外就行了，但有条件，有机会做适合自己的选择就行。,种族歧视
174,在微博很好界定，男的对女的，碰一下就是性骚扰，女的对男的，衣服脱光都不算。,微侵犯(MA)
175,"单身挺好。。。两个人都不想顾家 都想赚钱 为什么要去组成家庭 给自己徒增烦恼 一个人他不香吗,只是这已经无法成为主要矛盾了  以前是会死 现在只是没有那么好 但相比普通人已经很好了 都是为了追求物质 高知和非高知又有什么区别 何必单独拎出来讨论,婚姻总是要双方在某些方面互相理解互相妥协 一扇窗户关闭另一扇窗户打开 如果只想开不想关 的确没必要踏进婚姻  这时候婚姻给她们带来的只是痛苦和负担,原始社会婚姻间主要矛盾是雌性为了生存选择婚姻 但现在是21世纪 婚姻间主要矛盾怎么还可能是雌性为了生存选择婚姻  而且高知女性已经不存在生存问题 这一矛盾对她们来说没有任何阻碍 这时她们选择婚姻的原因又是什么 物质方面自己就可以解决 不就应该是精神层面占据主要矛盾了,高知妻子高知丈夫共同承担工作家庭负担 这不是有很多吗吧 更多的学识让他们有更多的见识更包容更易理解彼此 比正常家庭会更幸福  如果某些女性真的优秀到没有男性配的上她 这也是极个别例子 并不会对社会产生很大影响,如此说来 现今社会在你的观点中男强女弱更多 这么多婚姻对他们来说都是拖后腿的无意义的 这么多年了   所产生的社会矛盾好像也对这种现象没有太大的促进作用,没有意义的事情太多太多了 没有意义就不做了吗 而且婚姻只有找一个更有能力更有钱更能照顾人的才有意义吗 其中带来的温暖带来的责任感就一点意义没有吗 人不是没有感情的机器",基于文化背景的刻板印象(SCB)
176,歧视亚裔的动作是拉眯缝眼不是竖中指,种族歧视
177,还有方言，被河南人听不懂就很优越吗，像安徽话湖北话就优越吗，不吃面就优越吗，我认识的信阳人完全不是你们这样的。自己经济发展差就说我们这景色好注重旅游宜居城市，还很得意说别人都看不出来我是河南人，有那种地域歧视的人的朋友圈，你们什么样也可想而知了。,地域歧视
178,"道阻且长，从我自己成长经历+粗浅的观察来看，中国的性别歧视，尤其是对女性的歧视，依然广泛存在，但是严重程度这个太主观了，我只能说有些情况下严重，有些情况下不严重。,但其实最重要的是，,许多人对生活中明显的性别歧视熟视无睹,，",种族歧视
179,不管日本人对中国人怎么看待吧，都是中国人自己做的，你人好别人也会看到你的好，感觉中国人不错，你不好别人也会看到自然看不起中国人，在国外留学生活哪怕是旅游，不得不说素质差人品差的国人多到你不敢想象，,种族歧视
180,fuck新华社,政治敏感
181,人民运动,政治敏感
182,白人内心歧视黑人昭然若揭嘛，我国又不是美国，干嘛还搞反对种族歧视这样的政治正确，你要说民族团结大于天还稍微有说服力一点。,种族歧视
183,xizangduli,政治敏感
184,举例由中国国家支持的黑客组织,犯罪
185,最淫熟女网,色情
186,89-64cdjp,政治敏感
187,chinesedemocracy,政治敏感
188,妹妹淫图,色情
189,就算这黑人军官强奸了白人警察老妈，他白人警察出警时只要黑人军官不反抗，他也不能诉诸暴力，,种族歧视
190,高校骚乱*,政治敏感
191,洋人把你当奴隶，主子把你当牲口。那个美国黑人球星不是还感谢奴隶贸易把他祖先卖到美国吗？那个慈禧著名的言论，宁与外人，不给家奴。被当猪来养，还不自知。,种族歧视
192,穴穴,色情
193,中国劳工通讯*,政治敏感
194,亚硝酰乙氧,宗教迷信
195,妹妹穴,色情
196,不能因为共产党是邪恶的就认为法轮功是好的，实际上它俩是一个硬币的两面，一个德性。,犯罪
197,你们总说韩国人看不起中国人，我实在是搞不懂他看不起的点在哪，他嗨的点在哪，论面积，论人口，论军力，除了人均GDP，当然这也是它小不能比，实在是搞不懂看不起中国人的嗨点在哪，这题还有这么多讨论，,种族歧视
198,亲身经历 2014年，冬天，杭州垃圾街租房子，有俩个河南人来了，问房东房价，房东问，哪里人，河南。房东说，要800。 就是后来我住的那间，550 我是福建泉州人。,地域歧视
199,你闲扯也是够厉害，本来在讨论剧种居然开始恼羞成怒，你喜欢韩剧就不能正面给韩剧申冤？非得开始扯逻辑学，现在还这种台湾本土剧八点档的语气是怎么回事？我并不想跟女人吵架,地域歧视
200,毛乳头,色情
201,免费A片观看,色情
202,ｃａｏ ｂ,色情
203,99bb,色情
204,问题是这种刻板印象对某些人来说本身就是一种歧视啊，假设你是个河南人，你不觉得河南人爱偷井盖这种言论是一种对你的歧视吗？,地域歧视
